seed,failed,beta_hat,se,ci_low,ci_high,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,dgp,estimator,dgp_label,est_label,beta0
298,False,-0.050004150172116124,0.2674517797609587,-0.5742096385035952,0.47420133815936294,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.953664997444102}","{('int', 3, 6): 1.7398004380782912}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
299,False,0.3177474485186119,0.24034793422127176,-0.15333450255508074,0.7888293995923046,sr_pds,sr_pds,"[('cubic', 0, 1), ('sq', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('sq', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.1721470200236626, ('sq', 2, None): -2.3616108944438903}","{('int', 3, 6): 2.190221831898138}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
300,False,0.5548008250433538,0.13875793145589063,0.2828352793898082,0.8267663706968995,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.169156528166074, ('int', 3, 6): 2.16477214128984, ('log', 2, None): -4.805706345153436}","{('int', 3, 6): 2.16477214128984}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
301,False,0.12489790149484405,0.30834053448557464,-0.4794495460968823,0.7292453490865703,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.312568824962586}","{('int', 3, 6): 1.5191528268680434}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
302,False,0.5480910408191239,0.15439658389109112,0.24547373639258524,0.8507083452456625,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.2356954710722245, ('log', 2, None): -5.208534241260912}","{('int', 3, 6): 1.772469221234373}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
303,False,0.3540405720707305,0.2626932829682533,-0.16083826254704592,0.8689194066885069,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 3, 6)]","[('cubic', 0, 1)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.234114095250213}","{('int', 3, 6): 1.9033371026366477}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
304,False,1.3029245569985002,0.2785869920937252,0.7568940524947988,1.8489550615022017,sr_pds,sr_pds,"[('cubic', 0, 1)]","[('int', 42, 47)]","[('cubic', 0, 1)]",[],"{('cubic', 0, 1): 4.874199373658462}",{},dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
305,False,0.39102230431326374,0.1384766989572915,0.1196079743569724,0.6624366342695551,sr_pds,sr_pds,"[('cubic', 0, 1), ('int', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('int', 3, 6), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 5.027915372437391, ('int', 3, 6): 1.8502929094757523, ('log', 2, None): -5.136460679232303}","{('int', 3, 6): 1.8502929094757523}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
306,False,0.765649309284145,0.12903112917504778,0.5127482961010513,1.0185503224672385,sr_pds,sr_pds,"[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('log', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.962630790618957, ('log', 2, None): -5.123344389276632}","{('int', 3, 6): 1.384767500546451}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
307,False,0.6410859479945955,0.25272371954347445,0.14574745768938563,1.1364244382998054,sr_pds,sr_pds,"[('cubic', 0, 1), ('sq', 2, None)]","[('int', 3, 6)]","[('cubic', 0, 1), ('sq', 2, None)]","[('int', 3, 6)]","{('cubic', 0, 1): 4.639465628988011, ('sq', 2, None): -2.381341472124435}","{('int', 3, 6): 1.8785062141183075}",dgp8,sr_pds,Weak NL conf. (dummies),SR-PDS,0.5
