dgp,dgp_label,variant,equation,term,term_label,stage,recovery_rate,n_reps,true_coef,mean_coef,std_coef,coef_bias,coef_rmse
dgp7,NL + severe NL conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.95,500,5.0,,,,
dgp7,NL + severe NL conf.,sr_pds,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.95,500,5.0,4.8103387853857225,0.7095938027613338,-0.18966121461427754,0.7345030573430268
dgp7,NL + severe NL conf.,sr_pds,y,"('log', 2, None)",log|x2|,pre_lasso,0.33,500,-5.0,,,,
dgp7,NL + severe NL conf.,sr_pds,y,"('log', 2, None)",log|x2|,post_lasso,0.33,500,-5.0,-4.996445488584907,0.043206448596942414,0.003554511415092776,0.04335241344792984
dgp7,NL + severe NL conf.,sr_pds,y,"('int', 3, 4)",x3*x4,pre_lasso,0.094,500,3.0,,,,
dgp7,NL + severe NL conf.,sr_pds,y,"('int', 3, 4)",x3*x4,post_lasso,0.094,500,3.0,2.8927254137070926,0.626406174323045,-0.10727458629290743,0.635525398465197
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,pre_lasso,1.0,100,5.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('cubic', 0, 1)",x0^2*x1,post_lasso,1.0,100,5.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,pre_lasso,0.84,100,-5.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('log', 2, None)",log|x2|,post_lasso,0.84,100,-5.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,pre_lasso,0.47,100,3.0,,,,
dgp7,NL + severe NL conf.,sr_pds_cf,y,"('int', 3, 4)",x3*x4,post_lasso,0.47,100,3.0,,,,
dgp7,NL + severe NL conf.,sr_pds,d,"('cubic', 0, 1)",x0^2*x1,pre_lasso,0.93,500,2.0,,,,
dgp7,NL + severe NL conf.,sr_pds,d,"('cubic', 0, 1)",x0^2*x1,post_lasso,0.93,500,2.0,4.819216716658695,0.7008153130912501,2.819216716658695,2.9050172114035777
dgp7,NL + severe NL conf.,sr_pds,d,"('int', 3, 4)",x3*x4,pre_lasso,0.882,500,3.0,,,,
dgp7,NL + severe NL conf.,sr_pds,d,"('int', 3, 4)",x3*x4,post_lasso,0.882,500,3.0,2.9367242446928032,1.0019298646850585,-0.06327575530719676,1.003925931011604
