seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d,du_selected
8,False,0.4870236168389747,0.04691786036913763,0.39506461051546493,0.5789826231624845,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 1, 40), ('int', 34, 48), ('int', 46, 48)]",[],[],{},{},"[0, 1, 3, 5, 8, 10, 14, 16, 17, 18, 21, 24, 30, 31, 33, 34, 40, 46, 48]"
9,False,0.5080576152473797,0.04195525601136146,0.4258253134651112,0.5902899170296482,dgp1,epds_du,Linear,EPDS + Du et al.,0.5,epds_du,[],"[('int', 0, 44)]",[],[],{},{},"[0, 2, 3, 4, 8, 12, 17, 18, 21, 23, 24, 25, 26, 27, 28, 29, 33, 36, 39, 42, 44, 45, 48]"
0,False,1.1901377335428591,0.49217079112899936,0.22548298293002034,2.154792484155698,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.046527894299602204,0.450292749327882,-0.8360458943830464,0.9291016829822509,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
2,False,0.338473254754229,0.42487948126816394,-0.4942905285313723,1.1712370380398303,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
3,False,0.313889710207906,0.4701883951982151,-0.6076795443805956,1.2354589647964076,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
4,False,0.47682504879138976,0.42062924121093287,-0.3476082639820387,1.3012583615648183,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
5,False,0.7122383096368379,0.4469055347064384,-0.16369653838778142,1.588173157661457,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
6,False,0.31475886769420763,0.4142706170071556,-0.49721154163981734,1.1267292770282327,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
7,False,0.5946947938171117,0.46569302750677966,-0.31806354009617643,1.5074531277303997,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
8,False,0.037600305668629805,0.43675393244643446,-0.8184374019263817,0.8936380132636413,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
9,False,0.021083688088784525,0.4866113187402023,-0.932674496642012,0.9748418728195811,dgp2,naive_ols,Quadratic,Naive OLS,0.5,,nan,nan,nan,nan,nan,nan,nan
0,False,0.6748215473398729,0.4042361630193434,-0.11748133217804013,1.4671244268577859,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
1,False,0.5737565682681126,0.41731153043801117,-0.2441740313903893,1.3916871679266145,dgp2,full_ols,Quadratic,Full OLS (infeasible),0.5,,nan,nan,nan,nan,nan,nan,nan
