seed,failed,beta_hat,se,ci_low,ci_high,dgp,estimator,dgp_label,est_label,beta0,sr_pds_variant,epds_variant,pre_lasso_terms_y,pre_lasso_terms_d,post_lasso_terms_y,post_lasso_terms_d,term_coefs_y,term_coefs_d
3,False,0.434198787283382,0.05006324138799068,0.3360748341629203,0.5323227404038438,dgp1,sr_pds_cf,Linear,SR-PDS (CF),0.5,sr_pds_cf,sr_pds_cf,[],"[('int', 3, 24), ('int', 3, 47), ('int', 10, 39), ('int', 28, 47), ('int', 30, 48), ('int', 36, 46)]",[],[],{},{}
4,False,0.578882881600106,0.04822231186448847,0.48436715034570865,0.6733986128545034,dgp1,sr_pds_cf,Linear,SR-PDS (CF),0.5,sr_pds_cf,sr_pds_cf,[],"[('int', 2, 7), ('int', 2, 10), ('int', 2, 22), ('int', 2, 45), ('int', 7, 8), ('int', 7, 20), ('int', 8, 10), ('int', 8, 22), ('int', 8, 28), ('int', 8, 45), ('int', 10, 20), ('int', 15, 16), ('int', 17, 26), ('int', 17, 28), ('int', 20, 22), ('int', 20, 45), ('int', 23, 26), ('int', 32, 35), ('int', 32, 49)]",[],"[('int', 15, 16)]",{},{}
0,False,0.6748215473398729,0.4042361630193434,-0.11748133217804013,1.4671244268577859,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
1,False,0.5737565682681126,0.41731153043801117,-0.2441740313903893,1.3916871679266145,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
2,False,0.2573410823859271,0.4014608838269135,-0.5295222499148232,1.0442044146866776,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
3,False,0.5515617740995747,0.4217995640658626,-0.2751653714695159,1.3782889196686654,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
4,False,0.38125888838744193,0.38355162986376723,-0.3705023061455418,1.1330200829204258,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
5,False,0.24051767238238236,0.39251673178002444,-0.5288151219064656,1.0098504666712302,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
6,False,0.38364316975352863,0.35168969936172045,-0.30566864099544344,1.0729549805025007,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
7,False,0.5476626755220394,0.39716888543690704,-0.23078833993429837,1.326113690978377,dgp2,full_ols,Quadratic,Full OLS,0.5,,,nan,nan,nan,nan,nan,nan
